기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,주야간명,제외여부,제외사유,1학년학급수(개),2학년학급수(개),3학년학급수(개),4학년학급수(개),5학년학급수(개),6학년학급수(개),특수학급수(개),순회학급수(개),합계사항
2020,가평군,경기도가평교육지원청,경기도 가평군,상천초등학교,,공립,,N,,1,1,1,1,1,1,0,0,6
2020,가평군,경기도가평교육지원청,경기도 가평군,연하초등학교,,공립,,N,,1,1,1,1,1,1,1,0,7
2020,가평군,경기도가평교육지원청,경기도 가평군,율길초등학교,,공립,,N,,1,1,1,1,1,1,0,0,6
2020,가평군,경기도가평교육지원청,경기도 가평군,조종초등학교,,공립,,N,,2,3,3,2,2,2,2,0,16
2020,가평군,경기도가평교육지원청,경기도 가평군,청평초등학교,,공립,,N,,2,3,3,3,3,3,2,1,20
2020,가평군,경기도가평교육지원청,경기도 가평군,노비따스음악중고등학교(중),,사립,,N,,1,0,0,0,0,0,0,0,1
2020,가평군,경기도교육청,경기도 가평군,청심국제고등학교,,사립,,N,,4,4,4,,,,0,0,12
2020,가평군,경기도교육청,경기도 가평군,청평고등학교,,공립,,N,,4,4,4,,,,1,1,14
2020,가평군,경기도가평교육지원청,경기도 가평군,청평중학교,,공립,,N,,3,3,3,,,,1,0,10
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,가람중학교,,공립,,N,,5,5,5,,,,0,0,15
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,고양중학교,,공립,,N,,12,10,8,,,,1,0,31
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,능곡중학교,,공립,,N,,5,5,6,,,,0,0,16
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,대화중학교,,공립,,N,,6,6,6,,,,0,0,18
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,덕양중학교,,공립,,N,,3,2,3,,,,1,0,9
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,무원중학교,,공립,,N,,7,6,5,,,,2,2,22
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,발산중학교,,공립,,N,,9,8,9,,,,1,0,27
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,백마중학교,,공립,,N,,7,7,9,,,,1,0,24
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,향동초등학교,,공립,,N,,2,2,2,1,1,1,1,0,10
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,가좌초등학교,,공립,,N,,4,5,5,5,5,5,2,0,31
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,다솜초등학교,,공립,,N,,4,4,4,5,4,4,1,0,26
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,풍동초등학교,,공립,,N,,3,3,3,3,2,2,1,0,17
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,하늘초등학교,,공립,,N,,5,5,4,4,4,4,1,0,27
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,목암초등학교,,공립,,N,,6,7,7,8,7,7,1,0,43
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,백석중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,백신중학교,,공립,,N,,9,8,8,,,,1,0,26
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,백양중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,고양제일중학교,,사립,,N,,11,11,11,,,,0,0,33
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,신능중학교,,공립,,N,,5,5,5,,,,1,0,16
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,신일중학교,,공립,,N,,10,10,10,,,,1,0,31
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,오마중학교,,공립,,N,,11,10,11,,,,0,0,32
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,원당중학교,,공립,,N,,3,3,4,,,,0,0,10
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,일산동중학교,,공립,,N,,8,7,7,,,,1,0,23
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,일산중학교,,공립,,N,,5,5,5,,,,2,0,17
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,장성중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,저동중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,정발중학교,,공립,,N,,11,10,10,,,,0,0,31
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,중산중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,지도중학교,,공립,,N,,6,7,6,,,,1,0,20
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,한수중학교,,공립,,N,,9,8,7,,,,2,0,26
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,행신중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,호곡중학교,,공립,,N,,10,8,9,,,,1,0,28
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,화수중학교,,공립,,N,,10,9,10,,,,2,0,31
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,화정중학교,,공립,,N,,8,8,9,,,,0,0,25
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,고양관산초등학교,,공립,,N,,3,4,4,4,5,4,1,0,25
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,고양한내초등학교,,공립,,N,,4,4,3,3,3,4,1,0,22
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,한뫼초등학교,,공립,,N,,5,5,6,6,6,6,1,0,35
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,지축초등학교,,공립,,N,,4,4,4,3,3,2,1,0,21
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,향동중학교,,공립,,N,,4,3,2,,,,0,0,9
2020,고양시,경기도교육청,경기도 고양시 일산서구,백송고등학교,,사립,,N,,5,5,5,,,,0,0,15
2020,고양시,경기도교육청,경기도 고양시 덕양구,고양외국어고등학교,,사립,,N,,10,10,10,,,,0,0,30
2020,고양시,경기도교육청,경기도 고양시 덕양구,고양고등학교,,공립,,N,,8,8,8,,,,1,0,25
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,한류초등학교,,공립,,N,,8,6,5,4,3,3,1,0,30
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,창릉초등학교,,공립,,N,,3,3,2,2,2,2,1,0,15
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,향동숲내초등학교,,공립,,N,,6,5,4,4,3,3,1,0,26
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,도래울중학교,,공립,,N,,10,9,8,,,,1,0,28
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,고양동산초등학교,,공립,,N,,9,9,8,7,7,7,2,0,49
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,도래울초등학교,,공립,,N,,7,8,7,7,6,6,1,0,42
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,한산초등학교,,공립,,N,,6,6,6,6,6,5,1,0,36
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,백송초등학교,,공립,,N,,5,6,5,5,4,4,0,0,29
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,고양오금초등학교,,공립,,N,,3,4,4,3,3,1,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,서정초등학교,,공립,,N,,2,4,3,3,4,4,1,0,21
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,양일초등학교,,공립,,N,,8,9,8,8,8,8,0,0,49
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,모당초등학교,,공립,,N,,5,6,5,4,4,4,1,0,29
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,아람초등학교,,공립,,N,,2,3,3,3,4,3,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,성사중학교,,공립,,N,,6,6,6,,,,2,0,20
